cities,Bari,Bologna,Cagliari,Firenze,Genova,Messina,Milano,Napoli,Padova,Palermo,Perugia,Roma,Sassari,Torino,Trento,Trieste,Venezia
Bari,0,-1,-1,-1,-1,438,-1,262,-1,-1,562,431,-1,-1,-1,-1,-1
Bologna,-1,0,-1,111,299,-1,228,-1,119,-1,242,-1,-1,-1,232,-1,153
Cagliari,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,214,-1,-1,-1,-1
Firenze,-1,111,-1,0,230,-1,-1,-1,-1,-1,152,274,-1,-1,-1,-1,-1
Genova,-1,299,-1,230,0,-1,144,-1,-1,-1,-1,-1,-1,171,-1,-1,-1
Messina,438,-1,-1,-1,-1,0,-1,495,-1,224,-1,-1,-1,-1,-1,-1,-1
Milano,-1,228,-1,-1,144,-1,0,-1,-1,-1,-1,-1,-1,142,-1,-1,-1
Napoli,262,-1,-1,-1,-1,495,-1,0,-1,-1,-1,218,-1,-1,-1,-1,-1
Padova,-1,119,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,179,-1,38
Palermo,-1,-1,-1,-1,-1,224,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
Perugia,562,242,-1,152,-1,-1,-1,-1,-1,-1,0,171,-1,-1,-1,-1,-1
Roma,431,-1,-1,271,-1,-1,-1,218,-1,-1,171,-1,0,-1,-1,-1,-1
Sassari,-1,-1,214,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Torino,-1,-1,-1,-1,171,-1,142,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
Trento,-1,232,-1,-1,-1,-1,-1,-1,179,-1,-1,-1,-1,-1,0,-1,-1
Trieste,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,161
Venezia,-1,153,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,161,0
